DATE,TIME,LAT,LON,DEPTH,ML,MC,NOBS,DMIN,EHZ,EHR,LABEL,UTC
2012-10-01,04:57:41.72,39.705,-110.72200000000001,-2.99,1.89,2.1,13,3.0,0.5,0.4,mis,2012-10-01T04:57:41.72
2012-10-01,22:35:11.17,39.629,-110.382,-0.72,-9.99,1.4,6,3.0,0.3,0.7,mis,2012-10-01T22:35:11.17
2012-10-02,23:05:33.38,39.391999999999996,-111.065,1.68,0.96,1.17,8,9.0,31.6,1.0,mis,2012-10-02T23:05:33.38
2012-10-03,12:49:37.09,39.624,-110.38799999999999,-0.59,-9.99,1.05,7,2.0,0.2,0.6,mis,2012-10-03T12:49:37.09
2012-10-03,23:51:36.32,39.395,-111.06200000000001,1.43,-9.99,1.53,11,9.0,31.6,1.0,mis,2012-10-03T23:51:36.32
2012-10-06,20:58:14.98,39.691,-110.55799999999999,1.46,-9.99,1.08,7,15.0,31.6,0.7,mis,2012-10-06T20:58:14.98
2012-10-08,09:31:19.78,39.003,-111.478,-1.84,1.69,1.91,23,25.0,1.1,0.4,mis,2012-10-08T09:31:19.78
2012-10-09,17:35:06.75,38.969,-111.461,5.37,1.32,1.72,10,21.0,6.0,0.7,mis,2012-10-09T17:35:06.75
2012-10-09,20:13:38.65,39.771,-111.037,1.62,-9.99,1.55,7,20.0,31.6,5.3,mis,2012-10-09T20:13:38.65
2012-10-11,02:36:30.70,39.409,-111.066,-1.26,1.33,1.78,14,11.0,1.1,0.7,mis,2012-10-11T02:36:30.70
2012-10-12,06:42:01.14,39.634,-110.39,-1.44,-9.99,1.21,8,3.0,0.6,0.7,mis,2012-10-12T06:42:01.14
2012-10-13,03:22:53.92,39.635,-110.39399999999999,-1.67,-9.99,1.07,8,3.0,0.4,0.6,mis,2012-10-13T03:22:53.92
2012-10-16,03:28:11.02,39.632,-110.38600000000001,-1.06,-9.99,0.83,8,3.0,0.3,0.4,mis,2012-10-16T03:28:11.02
2012-10-17,22:59:46.25,39.411,-111.21799999999999,2.94,-9.99,1.5,7,13.0,5.9,1.1,mis,2012-10-17T22:59:46.25
2012-10-19,03:41:41.73,39.412,-111.22399999999999,3.78,-9.99,1.33,6,13.0,3.6,0.7,mis,2012-10-19T03:41:41.73
2012-10-19,16:38:03.22,39.703,-110.725,-2.92,1.46,1.99,10,3.0,0.4,0.7,mis,2012-10-19T16:38:03.22
2012-10-20,16:31:31.77,39.422,-111.094,-3.38,-9.99,1.94,15,12.0,0.7,0.4,mis,2012-10-20T16:31:31.77
2012-10-20,19:09:48.57,39.404,-111.08,1.7,1.27,1.86,10,10.0,9.5,0.6,mis,2012-10-20T19:09:48.57
2012-10-20,21:27:03.29,39.402,-111.06700000000001,-1.06,0.72,1.54,8,10.0,0.6,0.8,mis,2012-10-20T21:27:03.29
2012-10-21,08:39:55.10,39.634,-110.389,-1.28,-9.99,1.08,8,3.0,0.5,0.7,mis,2012-10-21T08:39:55.10
2012-10-21,10:33:33.62,39.632,-110.426,-3.41,-9.99,0.58,5,3.0,2.4,0.6,mis,2012-10-21T10:33:33.62
2012-10-21,18:12:40.27,39.709,-110.615,-2.86,1.5,1.91,13,3.0,0.6,0.4,mis,2012-10-21T18:12:40.27
2012-10-22,09:09:29.16,39.633,-110.38799999999999,-0.99,-9.99,0.85,6,3.0,0.5,0.4,mis,2012-10-22T09:09:29.16
2012-10-23,09:20:49.15,39.411,-111.07600000000001,1.72,1.14,1.81,8,11.0,31.6,0.7,mis,2012-10-23T09:20:49.15
2012-10-24,04:28:11.18,39.632,-110.384,-1.09,-9.99,0.9,5,3.0,1.1,0.4,mis,2012-10-24T04:28:11.18
2012-10-24,14:56:34.81,39.626999999999995,-110.383,-0.84,-9.99,1.13,6,3.0,0.4,0.4,mis,2012-10-24T14:56:34.81
2012-10-24,21:12:02.34,39.631,-110.381,-1.7,-9.99,1.5,6,3.0,0.3,0.3,mis,2012-10-24T21:12:02.34
2012-10-25,11:11:39.20,39.713,-110.611,-2.52,-9.99,1.49,8,3.0,0.8,0.5,mis,2012-10-25T11:11:39.20
2012-10-26,05:15:57.05,39.399,-111.225,4.63,-9.99,1.2,7,11.0,3.6,1.4,mis,2012-10-26T05:15:57.05
2012-10-26,05:31:42.04,39.406,-111.07600000000001,1.24,1.75,2.14,13,10.0,9.5,0.5,mis,2012-10-26T05:31:42.04
2012-10-26,15:44:30.33,39.44,-111.208,1.47,-9.99,1.55,7,16.0,31.6,0.7,mis,2012-10-26T15:44:30.33
2012-10-26,21:34:34.66,39.63,-110.381,-1.58,-9.99,1.46,5,3.0,0.6,0.4,mis,2012-10-26T21:34:34.66
2012-10-26,22:09:02.36,39.408,-111.07799999999999,1.56,1.17,1.65,10,11.0,31.6,0.7,mis,2012-10-26T22:09:02.36
2012-10-27,07:17:26.73,39.407,-111.07,1.87,1.66,2.11,18,10.0,10.3,0.6,mis,2012-10-27T07:17:26.73
2012-10-27,08:13:28.30,39.628,-110.383,-0.95,-9.99,0.88,7,3.0,0.3,0.5,mis,2012-10-27T08:13:28.30
2012-10-27,22:46:29.17,39.444,-111.22200000000001,1.5,-9.99,1.74,9,16.0,9.2,0.6,mis,2012-10-27T22:46:29.17
2012-10-28,13:54:38.95,39.023,-111.46799999999999,5.76,-9.99,1.76,5,23.0,31.6,1.0,mis,2012-10-28T13:54:38.95
2012-10-29,03:16:37.69,39.403,-111.07600000000001,1.34,-9.99,1.28,9,10.0,31.6,0.5,mis,2012-10-29T03:16:37.69
2012-10-29,05:29:05.52,39.713,-110.613,-3.17,-9.99,1.29,7,3.0,0.7,0.4,mis,2012-10-29T05:29:05.52
2012-10-29,20:00:24.82,39.41,-111.08,1.64,1.3,1.71,12,11.0,31.6,0.7,mis,2012-10-29T20:00:24.82
2012-10-29,23:02:35.64,39.399,-111.072,1.29,-9.99,1.78,8,10.0,11.3,0.9,mis,2012-10-29T23:02:35.64
2012-10-29,23:46:06.44,39.412,-111.07799999999999,1.7,2.08,2.6,17,11.0,8.2,0.3,mis,2012-10-29T23:46:06.44
2012-10-30,05:12:45.15,39.405,-111.074,1.63,-9.99,1.39,9,10.0,31.6,0.7,mis,2012-10-30T05:12:45.15
2012-10-31,18:16:28.65,39.406,-111.068,1.55,1.7,2.14,13,10.0,31.6,0.7,mis,2012-10-31T18:16:28.65
2012-11-01,10:54:05.41,39.406,-111.068,0.84,1.81,2.15,19,10.0,31.6,0.4,mis,2012-11-01T10:54:05.41
2012-11-01,20:30:58.41,38.98,-111.48200000000001,6.01,-9.99,1.3,5,23.0,31.6,1.1,mis,2012-11-01T20:30:58.41
2012-11-02,19:49:59.31,38.979,-111.48299999999999,1.58,1.21,1.52,8,23.0,10.0,0.8,mis,2012-11-02T19:49:59.31
2012-11-03,15:44:22.40,39.019,-111.449,5.9,-9.99,1.72,7,25.0,31.6,1.0,mis,2012-11-03T15:44:22.40
2012-11-03,23:24:24.07,39.013000000000005,-111.478,16.9,-9.99,1.66,8,24.0,2.5,0.6,mis,2012-11-03T23:24:24.07
2012-11-04,13:18:05.55,39.406,-111.081,1.19,-9.99,1.84,11,10.0,31.6,0.7,mis,2012-11-04T13:18:05.55
2012-11-05,22:39:09.82,39.409,-111.071,2.06,1.9,2.08,12,11.0,6.5,0.4,mis,2012-11-05T22:39:09.82
2012-11-13,05:32:26.48,39.419000000000004,-111.20100000000001,1.85,-9.99,1.44,6,14.0,31.6,1.7,mis,2012-11-13T05:32:26.48
2012-11-14,22:19:43.57,39.407,-111.09200000000001,1.8,0.97,1.19,6,10.0,31.6,0.7,mis,2012-11-14T22:19:43.57
2012-11-18,17:29:04.42,39.536,-111.095,3.01,-9.99,1.49,7,15.0,8.5,0.7,mis,2012-11-18T17:29:04.42
2012-11-21,04:33:47.16,39.444,-111.20100000000001,1.68,-9.99,1.35,8,16.0,31.6,0.7,mis,2012-11-21T04:33:47.16
2012-11-21,19:30:08.48,39.715,-110.611,-2.43,1.61,2.0,16,3.0,0.5,0.3,mis,2012-11-21T19:30:08.48
2012-11-22,03:48:49.13,39.618,-110.39399999999999,-1.37,-9.99,0.69,7,1.0,0.3,0.6,mis,2012-11-22T03:48:49.13
2012-11-22,10:17:02.20,39.424,-111.223,1.93,-9.99,1.4,9,14.0,31.6,0.7,mis,2012-11-22T10:17:02.20
2012-11-23,14:56:20.75,39.615,-110.397,-1.21,-9.99,1.08,6,1.0,0.3,0.8,mis,2012-11-23T14:56:20.75
2012-11-25,04:42:19.40,39.013000000000005,-111.351,15.66,-9.99,1.44,7,27.0,3.5,0.7,mis,2012-11-25T04:42:19.40
2012-11-25,15:15:21.60,39.406,-111.075,1.18,1.21,1.73,11,10.0,31.6,0.7,mis,2012-11-25T15:15:21.60
2012-11-26,14:13:27.41,39.745,-110.94,1.83,-9.99,1.58,8,13.0,31.6,1.8,mis,2012-11-26T14:13:27.41
