sampling_rate,delta,starttime,endtime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slon,slat,selv,back_azimuth,azimuth,repi,rhyp,p_time,s_time,wstart,wend,lower-f-bound,upper-f-bound,pass_snr,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,0.01,2015-07-19T09:46:22.965000Z,2015-07-19T09:46:41.945000Z,1899,NN,SPR3,,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-114.331398,38.998901,2815.0,89.8702455712,271.666809735,247.420857064,247.473105075,2015-07-19T09:45:55.155518Z,2015-07-19T09:46:26.910916Z,2015-07-19T09:46:23.965376Z,2015-07-19T09:46:40.945376Z,0.968828481275,13.0958380774,True,-7.65372195555,0.0354259715199,2.72550511845,0,0.090120020495,0.00442435947924,-137.787137998,-134.794122875,0.449296443824,0.0144934336718,True
100.0,0.01,2015-07-19T09:45:37.128393Z,2015-07-19T09:45:57.788393Z,2067,UU,BRPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 22, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 11264})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-110.74,39.473,1687.0,228.87387059,48.4084796368,84.6781517003,84.7705563529,2015-07-19T09:45:28.038426Z,2015-07-19T09:45:38.916064Z,2015-07-19T09:45:38.128300Z,2015-07-19T09:45:56.788300Z,0.336375454776,37.7186287983,True,-6.73712845488,0.0338977795532,2.72550511845,0,0.0250666762686,0.00192738716534,-184.736419729,-180.650317194,2.07899792214,0.0377999622207,True
100.0,0.01,2015-07-19T09:46:17.590000Z,2015-07-19T09:46:37.620000Z,2004,UU,CCUT,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 15, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 7680})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-113.362701,37.550598,2127.0,45.7834233734,226.951877042,228.146630515,228.188997597,2015-07-19T09:45:51.941500Z,2015-07-19T09:46:21.222389Z,2015-07-19T09:46:18.594300Z,2015-07-19T09:46:36.624300Z,1.05096220365,10.2591811109,True,-8.05580726187,0.0504124865028,2.72550511845,0,0.0556869144134,0.00755026656948,-108.771166389,-106.036574729,0.593709533542,0.021989241983,True
100.0,0.01,2015-07-19T09:46:08.175000Z,2015-07-19T09:46:28.185000Z,2002,UU,CTU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 19, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9728})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.75034,40.6925,1731.0,172.915309978,353.091050894,192.79795515,192.839465647,2015-07-19T09:45:46.049911Z,2015-07-19T09:46:10.794798Z,2015-07-19T09:46:09.170309Z,2015-07-19T09:46:27.180309Z,0.699658472649,7.40886867531,True,-7.39969788779,0.0577495464693,2.72550511845,0,0.0919772840057,0.0121731198601,-102.115710433,-99.3133156694,0.872848772002,0.0311731704287,True
100.0,0.01,2015-07-19T09:45:50.292000Z,2015-07-19T09:46:11.582000Z,2130,UU,HMU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 21, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 10752})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-110.7418,37.938,2430.0,330.979752233,150.523146084,131.167071598,131.251250171,2015-07-19T09:45:35.785208Z,2015-07-19T09:45:52.627183Z,2015-07-19T09:45:51.292986Z,2015-07-19T09:46:10.582986Z,0.59457370376,13.0958380774,True,-6.51697729787,0.0410255233033,2.72550511845,0,0.0707413070008,0.0055618224895,-138.09191689,-134.764793598,1.02038413747,0.0275779496615,True
100.0,0.01,2015-07-19T09:46:04.730000Z,2015-07-19T09:46:25.710000Z,2099,UU,JLU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 18, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9216})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.44995,40.60195,2285.0,180.71349619,0.696824708807,181.321027907,181.378232393,2015-07-19T09:45:44.139705Z,2015-07-19T09:46:07.413903Z,2015-07-19T09:46:05.726484Z,2015-07-19T09:46:24.706484Z,0.59457370376,13.0958380774,True,-7.28432598675,0.0386025382941,2.72550511845,0,0.107289518621,0.00523345190618,-142.842598338,-139.515475046,0.903360858975,0.0244151583507,True
100.0,0.01,2015-07-19T09:46:22.780000Z,2015-07-19T09:46:42.380000Z,1961,UU,KNB,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 19, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9728})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.822,37.0166,1715.0,28.2042622883,209.032953714,246.856512488,246.888675282,2015-07-19T09:45:55.058113Z,2015-07-19T09:46:26.738518Z,2015-07-19T09:46:23.780477Z,2015-07-19T09:46:41.380477Z,0.893113589503,8.03696536592,True,-7.92834840169,0.0522119518753,2.72550511845,0,0.0393539511503,0.00981613059614,-105.262183487,-102.597774466,0.565516204518,0.0217506232507,True
100.0,0.01,2015-07-19T09:45:47.620000Z,2015-07-19T09:46:07.870000Z,2026,UU,MPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 24, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 12288})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-111.63333,40.0155,1909.0,173.305775238,353.405837224,116.973080189,117.047706214,2015-07-19T09:45:33.417951Z,2015-07-19T09:45:48.437347Z,2015-07-19T09:45:48.615407Z,2015-07-19T09:46:06.865407Z,1.14005892151,14.2060551588,True,-7.24302214701,0.0397424071211,2.72550511845,0,0.0293951305553,0.00450754457279,-128.351891969,-125.420420163,0.511575181885,0.0170525060628,True
100.0,0.01,2015-07-19T09:45:47.338391Z,2015-07-19T09:46:08.298391Z,2097,UU,MTPU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 16, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 8192})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.1843,38.0415,3112.0,30.746962919,211.187958765,120.071603256,120.192162109,2015-07-19T09:45:33.942027Z,2015-07-19T09:45:49.364915Z,2015-07-19T09:45:48.342626Z,2015-07-19T09:46:07.302626Z,0.82331589045,18.1340202564,True,-7.24005151771,0.0431357413694,2.72550511845,0,0.0524179036701,0.00422326994433,-134.181955188,-130.854831896,1.12798695696,0.0304861339719,True
100.0,0.01,2015-07-19T09:45:49.195000Z,2015-07-19T09:46:08.805000Z,1962,UU,NLU,1.0,HHT,"AttribDict({'dataquality': 'M', 'number_of_records': 18, 'encoding': 'STEIM2', 'byteorder': '>', 'record_length': 512, 'filesize': 9216})",PICKLE,2.27,-111.476,38.969,2015-07-19T09:45:13.910000Z,-112.075,39.95483,2036.0,154.589305379,334.97002512,120.982445728,121.059050922,2015-07-19T09:45:34.086508Z,2015-07-19T09:45:49.620634Z,2015-07-19T09:45:50.197222Z,2015-07-19T09:46:07.807222Z,0.59457370376,18.1340202564,True,-6.92803403483,0.0399753325006,2.72550511845,0,0.0804703335999,0.00410793279759,-146.428423521,-142.90602329,1.30065070946,0.0317231880356,True
