# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
3.376e+12,2.319,0.188,0.108,3,2012-10-01T04:57:41.72
1.613e+12,2.105,0.000,0.000,1,2012-10-02T23:05:33.38
6.193e+11,1.828,0.293,0.207,2,2012-10-03T23:51:36.32
5.561e+11,1.797,0.237,0.079,9,2012-10-08T09:31:19.78
2.075e+12,2.178,0.103,0.059,3,2012-10-09T17:35:06.75
1.698e+12,2.120,0.114,0.081,2,2012-10-09T20:13:38.65
6.815e+11,1.856,0.055,0.032,3,2012-10-11T02:36:30.70
2.290e+12,2.207,0.000,0.000,1,2012-10-17T22:59:46.25
2.208e+12,2.196,0.000,0.000,1,2012-10-19T03:41:41.73
1.641e+11,1.443,0.000,0.000,1,2012-10-19T16:38:03.22
1.770e+12,2.132,0.118,0.083,2,2012-10-20T16:31:31.77
1.183e+13,2.682,0.091,0.052,3,2012-10-20T19:09:48.57
1.710e+11,1.455,0.000,0.000,1,2012-10-20T21:27:03.29
1.406e+12,2.065,0.145,0.065,5,2012-10-21T18:12:40.27
2.680e+11,1.585,0.000,0.000,1,2012-10-22T09:09:29.16
1.610e+12,2.105,0.038,0.027,2,2012-10-23T09:20:49.15
8.952e+12,2.601,0.000,0.000,1,2012-10-25T11:11:39.20
1.062e+12,1.984,0.000,0.000,1,2012-10-26T05:15:57.05
1.023e+13,2.640,0.211,0.086,6,2012-10-26T05:31:42.04
1.128e+12,2.002,0.000,0.000,1,2012-10-26T15:44:30.33
1.618e+12,2.106,0.028,0.020,2,2012-10-26T22:09:02.36
6.351e+12,2.502,0.111,0.042,7,2012-10-27T07:17:26.73
1.796e+13,2.803,0.000,0.000,1,2012-10-27T22:46:29.17
1.223e+12,2.025,0.000,0.000,1,2012-10-28T13:54:38.95
1.892e+12,2.151,0.053,0.038,2,2012-10-29T03:16:37.69
1.280e+14,3.372,0.000,0.000,1,2012-10-29T05:29:05.52
1.070e+15,3.986,0.000,0.000,1,2012-10-29T20:00:24.82
3.997e+13,3.035,0.147,0.085,3,2012-10-29T23:46:06.44
1.358e+12,2.055,0.000,0.000,1,2012-10-30T05:12:45.15
6.105e+12,2.490,0.118,0.053,5,2012-10-31T18:16:28.65
7.521e+12,2.551,0.184,0.070,7,2012-11-01T10:54:05.41
1.963e+13,2.829,0.029,0.017,3,2012-11-02T19:49:59.31
9.194e+11,1.942,0.000,0.000,1,2012-11-03T15:44:22.40
2.316e+12,2.210,0.129,0.075,3,2012-11-03T23:24:24.07
3.761e+12,2.350,0.363,0.210,3,2012-11-04T13:18:05.55
1.043e+13,2.646,0.155,0.069,5,2012-11-05T22:39:09.82
4.574e+12,2.407,0.000,0.000,1,2012-11-13T05:32:26.48
2.514e+12,2.234,0.162,0.093,3,2012-11-18T17:29:04.42
6.531e+11,1.843,0.228,0.161,2,2012-11-21T04:33:47.16
7.139e+11,1.869,0.256,0.148,3,2012-11-21T19:30:08.48
1.368e+12,2.057,0.000,0.000,1,2012-11-22T10:17:02.20
1.342e+14,3.385,0.000,0.000,1,2012-11-25T04:42:19.40
1.954e+12,2.161,0.014,0.010,2,2012-11-25T15:15:21.60
3.021e+14,3.620,0.000,0.000,1,2012-11-26T14:13:27.41
3.620e+10,1.006,0.000,0.000,1,2012-12-05T18:15:22.50
1.139e+12,2.004,0.157,0.091,3,2012-12-06T10:38:25.53
2.133e+12,2.186,0.171,0.121,2,2012-12-12T22:27:07.20
4.392e+12,2.395,0.000,0.000,1,2012-12-17T21:41:17.44
