# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
3.376e+12,2.319,0.188,0.108,3,2012-10-01T04:57:41.72
1.211e+12,2.022,0.000,0.000,1,2012-10-02T23:05:33.38
3.941e+11,1.697,0.293,0.207,2,2012-10-03T23:51:36.32
4.695e+11,1.748,0.237,0.079,9,2012-10-08T09:31:19.78
1.808e+12,2.138,0.103,0.059,3,2012-10-09T17:35:06.75
1.227e+12,2.026,0.114,0.081,2,2012-10-09T20:13:38.65
3.307e+11,1.646,0.055,0.032,3,2012-10-11T02:36:30.70
1.982e+12,2.165,0.000,0.000,1,2012-10-17T22:59:46.25
1.915e+12,2.155,0.000,0.000,1,2012-10-19T03:41:41.73
1.641e+11,1.443,0.000,0.000,1,2012-10-19T16:38:03.22
1.770e+12,2.132,0.118,0.083,2,2012-10-20T16:31:31.77
9.005e+12,2.603,0.091,0.052,3,2012-10-20T19:09:48.57
6.983e+10,1.196,0.000,0.000,1,2012-10-20T21:27:03.29
1.406e+12,2.065,0.145,0.065,5,2012-10-21T18:12:40.27
1.032e+11,1.309,0.000,0.000,1,2012-10-22T09:09:29.16
1.241e+12,2.029,0.038,0.027,2,2012-10-23T09:20:49.15
8.952e+12,2.601,0.000,0.000,1,2012-10-25T11:11:39.20
9.236e+11,1.944,0.000,0.000,1,2012-10-26T05:15:57.05
5.699e+12,2.471,0.211,0.086,6,2012-10-26T05:31:42.04
7.374e+11,1.879,0.000,0.000,1,2012-10-26T15:44:30.33
1.123e+12,2.000,0.028,0.020,2,2012-10-26T22:09:02.36
5.381e+12,2.454,0.111,0.042,7,2012-10-27T07:17:26.73
1.199e+13,2.686,0.000,0.000,1,2012-10-27T22:46:29.17
1.067e+12,1.985,0.000,0.000,1,2012-10-28T13:54:38.95
1.131e+12,2.002,0.053,0.038,2,2012-10-29T03:16:37.69
1.280e+14,3.372,0.000,0.000,1,2012-10-29T05:29:05.52
7.829e+14,3.896,0.000,0.000,1,2012-10-29T20:00:24.82
3.042e+13,2.955,0.147,0.085,3,2012-10-29T23:46:06.44
9.873e+11,1.963,0.000,0.000,1,2012-10-30T05:12:45.15
4.212e+12,2.383,0.118,0.053,5,2012-10-31T18:16:28.65
3.105e+12,2.295,0.184,0.070,7,2012-11-01T10:54:05.41
1.381e+13,2.727,0.029,0.017,3,2012-11-02T19:49:59.31
8.019e+11,1.903,0.000,0.000,1,2012-11-03T15:44:22.40
2.288e+12,2.206,0.129,0.075,3,2012-11-03T23:24:24.07
2.022e+12,2.171,0.363,0.210,3,2012-11-04T13:18:05.55
9.007e+12,2.603,0.155,0.069,5,2012-11-05T22:39:09.82
3.827e+12,2.355,0.000,0.000,1,2012-11-13T05:32:26.48
2.177e+12,2.192,0.162,0.093,3,2012-11-18T17:29:04.42
4.906e+11,1.761,0.228,0.161,2,2012-11-21T04:33:47.16
7.139e+11,1.869,0.256,0.148,3,2012-11-21T19:30:08.48
1.180e+12,2.015,0.000,0.000,1,2012-11-22T10:17:02.20
1.326e+14,3.382,0.000,0.000,1,2012-11-25T04:42:19.40
1.043e+12,1.979,0.014,0.010,2,2012-11-25T15:15:21.60
2.496e+14,3.565,0.000,0.000,1,2012-11-26T14:13:27.41
3.288e+10,0.978,0.000,0.000,1,2012-12-05T18:15:22.50
1.139e+12,2.004,0.157,0.091,3,2012-12-06T10:38:25.53
2.133e+12,2.186,0.171,0.121,2,2012-12-12T22:27:07.20
3.798e+12,2.353,0.000,0.000,1,2012-12-17T21:41:17.44
1.443e+13,2.740,0.000,0.000,1,2013-01-02T06:54:14.60
1.122e+12,2.000,0.409,0.236,3,2013-01-13T14:11:36.69
9.409e+11,1.949,0.000,0.000,1,2013-01-16T12:07:41.99
1.471e+12,2.078,0.229,0.103,5,2013-01-23T05:31:48.77
5.193e+11,1.777,0.193,0.073,7,2013-01-26T07:27:35.58
8.237e+11,1.911,0.273,0.158,3,2013-01-27T16:12:00.01
4.087e+12,2.374,0.220,0.155,2,2013-01-28T21:33:52.42
7.232e+11,1.873,0.000,0.000,1,2013-02-15T23:24:18.71
1.732e+12,2.126,0.140,0.081,3,2013-02-20T00:08:38.02
1.696e+12,2.120,0.094,0.054,3,2013-02-20T14:20:19.11
7.362e+11,1.878,0.281,0.199,2,2013-02-25T04:06:23.54
5.876e+11,1.813,0.000,0.000,1,2013-03-09T01:43:44.14
4.091e+11,1.708,0.183,0.130,2,2013-03-12T06:26:50.16
5.077e+12,2.437,0.000,0.000,1,2013-03-12T21:50:16.71
5.047e+12,2.435,0.198,0.114,3,2013-03-13T22:46:17.86
7.434e+12,2.548,0.164,0.062,7,2013-03-16T01:28:34.41
6.475e+12,2.508,0.138,0.079,3,2013-03-19T19:17:28.98
2.502e+12,2.232,0.000,0.000,1,2013-03-21T07:02:26.37
1.504e+12,2.085,0.000,0.000,1,2013-03-21T17:32:46.62
7.370e+12,2.545,0.000,0.000,1,2013-03-21T20:03:43.55
1.567e+12,2.097,0.000,0.000,1,2013-03-21T23:09:26.45
3.445e+12,2.325,0.000,0.000,1,2013-03-26T01:03:22.08
1.878e+12,2.149,0.000,0.000,1,2013-03-26T03:23:25.96
1.388e+12,2.062,0.000,0.000,1,2013-03-26T04:01:55.05
3.227e+12,2.306,0.000,0.000,1,2013-03-26T05:27:19.38
1.248e+12,2.031,0.000,0.000,1,2013-03-26T05:52:02.18
2.097e+12,2.181,0.000,0.000,1,2013-03-26T16:12:52.99
7.187e+11,1.871,0.339,0.240,2,2013-03-27T00:42:29.11
1.367e+12,2.057,0.000,0.000,1,2013-03-27T02:16:50.08
1.999e+12,2.167,0.000,0.000,1,2013-03-27T03:41:52.54
1.129e+12,2.002,0.000,0.000,1,2013-03-27T05:00:42.86
1.673e+12,2.116,0.000,0.000,1,2013-03-27T06:23:32.66
3.181e+12,2.302,0.116,0.082,2,2013-03-28T15:10:14.97
6.377e+10,1.170,1.008,0.713,2,2013-03-28T20:47:41.54
2.896e+12,2.275,0.000,0.000,1,2013-03-28T21:42:21.21
9.901e+11,1.964,0.000,0.000,1,2013-03-30T09:20:00.44
3.341e+12,2.316,0.174,0.055,10,2013-03-31T11:31:08.66
1.965e+12,2.162,0.000,0.000,1,2013-04-04T19:54:50.50
1.815e+12,2.139,0.279,0.140,4,2013-04-05T10:10:01.22
1.373e+12,2.058,0.257,0.091,8,2013-04-07T05:46:35.00
3.533e+12,2.332,0.000,0.000,1,2013-04-08T14:16:16.00
1.736e+12,2.126,0.000,0.000,1,2013-04-09T01:08:34.31
4.811e+11,1.755,0.248,0.175,2,2013-04-09T04:33:27.46
9.922e+11,1.964,0.000,0.000,1,2013-04-09T04:50:25.23
1.351e+12,2.054,0.000,0.000,1,2013-04-09T07:38:29.20
