# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
1.903e+12,2.153,0.186,0.108,3,2012-10-01T04:57:41.72
1.094e+12,1.993,0.096,0.055,3,2012-10-01T22:35:11.17
2.845e+12,2.269,0.031,0.022,2,2012-10-02T23:05:33.38
1.095e+11,1.326,0.000,0.000,1,2012-10-03T12:49:37.09
3.190e+12,2.303,0.007,0.005,2,2012-10-03T23:51:36.32
1.860e+12,2.146,0.132,0.076,3,2012-10-06T20:58:14.98
8.910e+11,1.933,0.156,0.045,12,2012-10-08T09:31:19.78
1.956e+12,2.161,0.150,0.061,6,2012-10-09T17:35:06.75
8.787e+12,2.596,0.149,0.075,4,2012-10-09T20:13:38.65
1.213e+12,2.023,0.041,0.020,4,2012-10-11T02:36:30.70
1.008e+11,1.302,0.178,0.103,3,2012-10-12T06:42:01.14
7.553e+10,1.219,0.172,0.099,3,2012-10-13T03:22:53.92
6.702e+10,1.184,0.172,0.122,2,2012-10-16T03:28:11.02
2.970e+12,2.282,0.098,0.056,3,2012-10-17T22:59:46.25
1.914e+12,2.155,0.154,0.109,2,2012-10-19T03:41:41.73
1.173e+12,2.013,0.172,0.077,5,2012-10-19T16:38:03.22
1.279e+12,2.038,0.075,0.037,4,2012-10-20T16:31:31.77
5.440e+12,2.457,0.036,0.021,3,2012-10-20T19:09:48.57
3.143e+12,2.298,0.017,0.012,2,2012-10-20T21:27:03.29
9.212e+10,1.276,0.166,0.096,3,2012-10-21T08:39:55.10
1.747e+11,1.462,0.172,0.122,2,2012-10-21T10:33:33.62
7.899e+11,1.898,0.228,0.102,5,2012-10-21T18:12:40.27
6.409e+10,1.171,0.175,0.124,2,2012-10-22T09:09:29.16
5.307e+12,2.450,0.082,0.041,4,2012-10-23T09:20:49.15
6.370e+10,1.169,0.146,0.103,2,2012-10-24T04:28:11.18
4.451e+11,1.732,0.019,0.014,2,2012-10-24T14:56:34.81
1.359e+11,1.389,0.231,0.164,2,2012-10-24T21:12:02.34
6.686e+12,2.517,0.459,0.187,6,2012-10-25T11:11:39.20
2.046e+12,2.174,0.096,0.056,3,2012-10-26T05:15:57.05
8.037e+12,2.570,0.195,0.087,5,2012-10-26T05:31:42.04
4.483e+12,2.401,0.153,0.089,3,2012-10-26T15:44:30.33
2.200e+11,1.528,0.492,0.284,3,2012-10-26T21:34:34.66
3.237e+12,2.307,0.099,0.057,3,2012-10-26T22:09:02.36
