# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
1.903e+12,2.153,0.187,0.108,3,2012-10-01T04:57:41.72
2.787e+11,1.597,0.101,0.059,3,2012-10-01T22:35:11.17
2.079e+12,2.179,0.033,0.019,3,2012-10-02T23:05:33.38
2.907e+10,0.942,0.000,0.000,1,2012-10-03T12:49:37.09
1.912e+12,2.154,0.008,0.006,2,2012-10-03T23:51:36.32
1.536e+12,2.091,0.129,0.074,3,2012-10-06T20:58:14.98
7.446e+11,1.881,0.156,0.045,12,2012-10-08T09:31:19.78
1.695e+12,2.119,0.149,0.061,6,2012-10-09T17:35:06.75
4.621e+12,2.410,0.178,0.089,4,2012-10-09T20:13:38.65
6.153e+11,1.826,0.032,0.016,4,2012-10-11T02:36:30.70
5.892e+10,1.147,0.172,0.100,3,2012-10-12T06:42:01.14
5.161e+10,1.109,0.176,0.102,3,2012-10-13T03:22:53.92
2.691e+10,0.920,0.165,0.117,2,2012-10-16T03:28:11.02
2.420e+12,2.223,0.084,0.049,3,2012-10-17T22:59:46.25
1.648e+12,2.111,0.145,0.103,2,2012-10-19T03:41:41.73
1.173e+12,2.013,0.172,0.077,5,2012-10-19T16:38:03.22
1.279e+12,2.038,0.075,0.038,4,2012-10-20T16:31:31.77
4.037e+12,2.371,0.032,0.018,3,2012-10-20T19:09:48.57
1.704e+12,2.121,0.014,0.010,2,2012-10-20T21:27:03.29
3.919e+10,1.029,0.174,0.101,3,2012-10-21T08:39:55.10
1.917e+11,1.488,0.156,0.110,2,2012-10-21T10:33:33.62
7.908e+11,1.899,0.229,0.102,5,2012-10-21T18:12:40.27
2.396e+10,0.886,0.179,0.127,2,2012-10-22T09:09:29.16
4.148e+12,2.379,0.106,0.053,4,2012-10-23T09:20:49.15
2.588e+10,0.909,0.150,0.106,2,2012-10-24T04:28:11.18
1.062e+11,1.317,0.094,0.066,2,2012-10-24T14:56:34.81
9.971e+10,1.299,0.230,0.162,2,2012-10-24T21:12:02.34
7.373e+12,2.545,0.454,0.185,6,2012-10-25T11:11:39.20
2.126e+12,2.185,0.059,0.034,3,2012-10-26T05:15:57.05
4.348e+12,2.392,0.194,0.087,5,2012-10-26T05:31:42.04
2.616e+12,2.245,0.151,0.087,3,2012-10-26T15:44:30.33
1.405e+11,1.399,0.494,0.285,3,2012-10-26T21:34:34.66
2.134e+12,2.186,0.087,0.043,4,2012-10-26T22:09:02.36
4.502e+12,2.402,0.075,0.034,5,2012-10-27T07:17:26.73
3.131e+11,1.631,0.468,0.331,2,2012-10-27T08:13:28.30
3.088e+12,2.293,0.106,0.075,2,2012-10-27T22:46:29.17
1.006e+12,1.968,0.070,0.040,3,2012-10-28T13:54:38.95
4.268e+12,2.387,0.031,0.016,4,2012-10-29T03:16:37.69
6.000e+11,1.819,0.008,0.005,2,2012-10-29T05:29:05.52
6.602e+12,2.513,0.058,0.029,4,2012-10-29T20:00:24.82
3.258e+12,2.309,0.053,0.038,2,2012-10-29T23:02:35.64
2.051e+13,2.841,0.072,0.036,4,2012-10-29T23:46:06.44
8.369e+12,2.582,0.067,0.039,3,2012-10-30T05:12:45.15
5.721e+12,2.472,0.180,0.074,6,2012-10-31T18:16:28.65
2.558e+12,2.239,0.069,0.034,4,2012-11-01T10:54:05.41
1.382e+12,2.060,0.035,0.025,2,2012-11-01T20:30:58.41
1.266e+12,2.035,0.113,0.056,4,2012-11-02T19:49:59.31
6.183e+11,1.827,0.124,0.072,3,2012-11-03T15:44:22.40
1.426e+12,2.069,0.086,0.039,5,2012-11-03T23:24:24.07
3.088e+12,2.293,0.063,0.031,4,2012-11-04T13:18:05.55
1.841e+13,2.810,0.201,0.090,5,2012-11-05T22:39:09.82
1.781e+12,2.134,0.170,0.098,3,2012-11-13T05:32:26.48
3.448e+12,2.325,0.073,0.042,3,2012-11-18T17:29:04.42
1.613e+12,2.105,0.236,0.136,3,2012-11-21T04:33:47.16
1.306e+12,2.044,0.217,0.108,4,2012-11-21T19:30:08.48
2.189e+10,0.860,0.132,0.093,2,2012-11-22T03:48:49.13
1.444e+12,2.073,0.200,0.116,3,2012-11-22T10:17:02.20
5.701e+10,1.137,0.168,0.119,2,2012-11-23T14:56:20.75
3.007e+12,2.285,0.038,0.027,2,2012-11-25T04:42:19.40
3.140e+12,2.298,0.052,0.026,4,2012-11-25T15:15:21.60
2.619e+12,2.245,0.049,0.035,2,2012-11-26T14:13:27.41
1.213e+10,0.689,0.000,0.000,1,2012-11-28T21:05:22.26
1.041e+12,1.978,0.084,0.059,2,2012-12-02T15:45:47.62
1.972e+10,0.830,0.516,0.298,3,2012-12-05T05:36:07.03
3.552e+11,1.667,0.226,0.160,2,2012-12-05T18:15:22.50
4.273e+11,1.721,0.155,0.077,4,2012-12-06T10:38:25.53
5.194e+11,1.777,0.116,0.082,2,2012-12-12T22:27:07.20
3.798e+10,1.020,0.024,0.017,2,2012-12-14T20:16:08.32
2.762e+10,0.928,0.000,0.000,1,2012-12-14T20:49:20.60
2.785e+12,2.263,0.181,0.128,2,2012-12-17T21:41:17.44
4.376e+12,2.394,0.076,0.044,3,2012-12-18T11:56:49.75
8.418e+14,3.917,0.369,0.261,2,2012-12-19T00:26:53.01
4.024e+20,7.703,0.000,0.000,1,2012-12-21T05:32:55.62
1.029e+10,0.642,0.000,0.000,1,2012-12-29T23:17:10.04
2.129e+12,2.185,0.159,0.080,4,2013-01-02T06:54:14.60
5.323e+11,1.784,0.181,0.069,7,2013-01-13T14:11:36.69
2.781e+13,2.929,0.689,0.487,2,2013-01-16T12:07:41.99
2.886e+12,2.274,0.024,0.017,2,2013-01-22T09:32:02.87
1.236e+12,2.028,0.189,0.057,11,2013-01-23T05:31:48.77
7.414e+12,2.547,0.089,0.063,2,2013-01-24T04:01:05.61
4.299e+11,1.722,0.159,0.065,6,2013-01-24T05:05:58.05
6.151e+11,1.826,0.253,0.073,12,2013-01-26T07:27:35.58
1.310e+12,2.045,0.134,0.067,4,2013-01-27T16:12:00.01
8.207e+12,2.576,0.085,0.060,2,2013-01-28T21:33:52.42
1.412e+12,2.067,0.169,0.098,3,2013-02-15T23:24:18.71
2.409e+12,2.221,0.087,0.039,5,2013-02-20T00:08:38.02
2.029e+12,2.172,0.046,0.023,4,2013-02-20T14:20:19.11
4.923e+11,1.762,0.131,0.053,6,2013-02-25T04:06:23.54
2.253e+12,2.202,0.069,0.034,4,2013-03-08T14:29:00.00
1.911e+12,2.154,0.136,0.068,4,2013-03-09T01:43:44.14
6.568e+11,1.845,0.174,0.078,5,2013-03-12T06:26:50.16
2.745e+12,2.259,0.118,0.068,3,2013-03-12T21:50:16.71
3.669e+12,2.343,0.185,0.083,5,2013-03-13T22:46:17.86
1.148e+12,2.007,0.246,0.082,9,2013-03-16T01:28:34.41
6.667e+12,2.516,0.124,0.071,3,2013-03-19T19:17:28.98
2.485e+12,2.230,0.166,0.096,3,2013-03-21T07:02:26.37
7.042e+12,2.532,0.127,0.073,3,2013-03-21T20:03:43.55
