# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
2.553e+12,2.238,0.000,0.000,1,2012-10-01T16:51:31.20
2.097e+13,2.848,0.000,0.000,1,2012-10-03T13:35:33.41
1.093e+13,2.659,0.752,0.434,3,2012-10-03T19:02:57.61
8.857e+11,1.932,0.075,0.053,2,2012-10-04T12:24:10.02
1.735e+12,2.126,0.000,0.000,1,2012-10-04T16:57:26.53
6.037e+12,2.487,0.347,0.123,8,2012-10-07T03:11:06.89
6.761e+11,1.853,0.415,0.131,10,2012-10-08T12:12:12.76
1.809e+12,2.138,0.006,0.004,2,2012-10-11T10:00:41.37
1.883e+12,2.150,0.220,0.110,4,2012-10-11T10:11:57.01
7.182e+12,2.538,0.373,0.132,8,2012-10-11T11:39:46.63
2.971e+12,2.282,0.385,0.272,2,2012-10-12T01:07:53.48
7.442e+11,1.881,0.000,0.000,1,2012-10-12T01:25:32.24
2.698e+12,2.254,0.000,0.000,1,2012-10-12T18:13:02.58
9.616e+11,1.955,0.000,0.000,1,2012-10-14T11:43:13.25
3.324e+13,2.981,0.420,0.297,2,2012-10-15T11:38:55.00
1.088e+12,1.991,0.179,0.060,9,2012-10-16T08:03:28.58
2.209e+12,2.196,0.000,0.000,1,2012-10-16T09:44:17.38
3.307e+12,2.313,0.178,0.073,6,2012-10-16T11:54:52.38
1.126e+14,3.334,0.000,0.000,1,2012-10-16T11:55:12.68
2.570e+12,2.240,0.214,0.055,15,2012-10-17T18:34:00.36
3.720e+12,2.347,0.000,0.000,1,2012-10-17T22:46:56.84
2.371e+14,3.550,1.016,0.359,8,2012-10-18T04:42:22.56
5.243e+12,2.446,0.268,0.109,6,2012-10-20T04:04:38.17
9.358e+12,2.614,0.195,0.052,14,2012-10-20T13:08:25.37
1.408e+13,2.732,0.234,0.062,14,2012-10-24T05:13:17.41
1.515e+12,2.087,0.206,0.103,4,2012-10-24T08:18:29.42
7.507e+12,2.550,0.254,0.127,4,2012-10-24T15:09:59.73
7.746e+12,2.559,0.000,0.000,1,2012-10-25T14:23:49.36
6.560e+12,2.511,0.142,0.050,8,2012-10-25T21:16:41.27
1.052e+13,2.648,0.240,0.120,4,2012-10-25T21:18:24.63
1.855e+13,2.812,1.025,0.592,3,2012-10-26T22:03:24.66
3.048e+12,2.289,0.224,0.085,7,2012-10-28T12:47:19.26
8.618e+11,1.924,0.202,0.143,2,2012-10-29T01:24:45.53
1.518e+12,2.088,0.000,0.000,1,2012-10-29T01:26:58.31
7.524e+12,2.551,0.153,0.058,7,2012-10-29T09:30:01.60
2.450e+12,2.226,0.000,0.000,1,2012-10-29T23:39:18.28
1.272e+14,3.370,1.297,0.749,3,2012-10-30T21:59:37.03
4.628e+11,1.744,0.000,0.000,1,2012-10-31T17:43:03.70
1.270e+12,2.036,0.000,0.000,1,2012-11-01T07:03:54.82
6.250e+13,3.164,0.199,0.041,24,2012-11-01T15:58:50.97
3.537e+13,2.999,0.000,0.000,1,2012-11-01T23:39:43.74
1.872e+13,2.815,0.092,0.053,3,2012-11-02T21:31:10.97
6.552e+12,2.511,0.138,0.049,8,2012-11-03T12:23:04.19
3.674e+12,2.343,0.476,0.238,4,2012-11-04T04:36:27.36
4.040e+11,1.704,0.123,0.061,4,2012-11-04T05:37:30.48
1.389e+14,3.395,0.204,0.033,39,2012-11-04T06:04:20.01
1.067e+12,1.986,0.000,0.000,1,2012-11-05T16:49:31.55
1.323e+14,3.381,0.192,0.030,40,2012-11-06T09:13:57.72
4.660e+12,2.412,0.236,0.089,7,2012-11-06T22:37:26.59
3.891e+13,3.027,0.227,0.057,16,2012-11-07T08:31:34.66
2.323e+12,2.211,0.273,0.137,4,2012-11-08T21:56:08.53
6.226e+11,1.829,0.226,0.101,5,2012-11-09T11:12:00.12
1.761e+12,2.130,0.068,0.039,3,2012-11-09T11:41:14.66
3.576e+13,3.002,0.046,0.032,2,2012-11-10T16:49:26.44
1.299e+11,1.376,0.007,0.005,2,2012-11-11T18:36:22.19
1.154e+12,2.008,0.068,0.040,3,2012-11-12T06:45:21.77
3.983e+13,3.033,0.182,0.038,23,2012-11-12T10:43:32.67
2.024e+12,2.171,0.000,0.000,1,2012-11-12T19:28:00.47
3.555e+12,2.334,0.077,0.045,3,2012-11-13T02:06:36.02
1.722e+12,2.124,0.202,0.082,6,2012-11-14T03:42:40.58
3.971e+12,2.366,0.222,0.084,7,2012-11-15T12:10:40.28
1.074e+12,1.987,0.175,0.078,5,2012-11-15T13:47:48.92
1.568e+12,2.097,0.162,0.061,7,2012-11-16T09:28:49.48
5.878e+11,1.813,0.000,0.000,1,2012-11-16T09:33:26.16
9.792e+12,2.627,0.074,0.052,2,2012-11-18T07:32:53.72
1.179e+12,2.014,0.167,0.097,3,2012-11-21T00:53:43.22
6.865e+13,3.191,0.739,0.523,2,2012-11-21T00:56:45.65
4.930e+12,2.429,0.171,0.070,6,2012-11-21T01:18:53.04
2.829e+12,2.268,0.084,0.048,3,2012-11-22T03:21:32.74
3.063e+12,2.291,0.152,0.062,6,2012-11-23T13:43:15.40
5.378e+13,3.120,0.000,0.000,1,2012-11-23T13:45:45.08
1.403e+12,2.065,0.000,0.000,1,2012-11-24T00:31:09.05
1.138e+12,2.004,0.000,0.000,1,2012-11-24T04:36:50.56
3.436e+12,2.324,0.000,0.000,1,2012-11-24T10:40:55.66
1.534e+12,2.091,0.181,0.050,13,2012-11-25T13:02:47.24
4.310e+12,2.390,0.202,0.143,2,2012-11-26T22:27:50.71
1.724e+12,2.124,0.000,0.000,1,2012-11-27T06:55:52.84
2.934e+12,2.278,0.050,0.035,2,2012-11-27T09:25:58.10
2.017e+12,2.170,0.165,0.117,2,2012-11-28T04:12:48.10
